"console","genre","publisher","developer","critic_score","total_sales","release_month"
"PS3","Action","Rockstar Games","Rockstar North",9.4,20.32,9
"PS4","Action","Rockstar Games","Rockstar North",9.7,19.39,11
"PS2","Action","Rockstar Games","Rockstar North",9.6,16.15,10
"PS4","Shooter","Activision","Treyarch",8.1,15.09,11
"X360","Shooter","Activision","Infinity Ward",8.7,14.82,11
"X360","Shooter","Activision","Treyarch",8.8,14.74,11
"PS4","Action-Adventure","Rockstar Games","Rockstar Games",9.8,13.94,10
"X360","Shooter","Activision","Treyarch",8.4,13.86,11
"PS3","Shooter","Activision","Treyarch",8,13.8,11
"X360","Shooter","Activision","Infinity Ward",9.5,13.53,11
"PS4","Shooter","Activision","Sledgehammer Games",8.1,13.4,11
"PS3","Shooter","Activision","Infinity Ward",8.8,13.35,11
"PS2","Action","Rockstar Games","DMA Design",9.5,13.1,10
"PS3","Shooter","Activision","Treyarch",8.7,12.67,11
"PS4","Sports","EA Sports","EA Vancouver",8.3,11.8,9
"X360","Action","Rockstar Games","Rockstar North",10,11.09,4
"PS4","Sports","Electronic Arts","EA Canada",8.9,10.94,9
"PS3","Shooter","Activision","Infinity Ward",9.5,10.61,11
"PS3","Action","Rockstar Games","Rockstar North",10,10.57,4
"X360","Shooter","Activision","Infinity Ward",6.9,10.41,11
"PS3","Shooter","Activision","Infinity Ward",7.5,10.13,11
"X360","Shooter","Microsoft Game Studios","Bungie",9.3,9.97,9
"X360","Shooter","Activision","Infinity Ward",9.6,9.41,11
"X360","Role-Playing","Bethesda Softworks","Bethesda Game Studios",9.3,8.88,11
"XOne","Action","Rockstar Games","Rockstar North",9,8.72,11
"PS4","Shooter","Activision","Infinity Ward",7.9,8.48,11
"PS4","Role-Playing","Bethesda Softworks","Bethesda Game Studios",8.6,8.48,11
"PS4","Sports","EA Sports","EA Canada",8.5,8.22,9
"PS4","Shooter","Electronic Arts","EA DICE",7.1,8.03,11
"PC","Simulation","Electronic Arts","EA Redwood Shores",8.5,7.96,6
"PSP","Action","Rockstar Games","Rockstar Leeds",8.8,7.72,10
"PS4","Shooter","Activision","Sledgehammer Games",8.5,7.53,11
"X360","Shooter","Activision","Treyarch",8.5,7.5,11
"X360","Shooter","Electronic Arts","Dice",8.5,7.35,10
"PS4","Shooter","Electronic Arts","EA DICE",9.1,7.26,10
"PS3","Shooter","Electronic Arts","Dice",8.5,7.21,10
"PS2","Racing","Electronic Arts","EA Black Box",8.6,7.2,11
