"genre","publisher","developer","critic_score","release_date","total_sales","release_Month"
"Action","Rockstar Games","Rockstar North",9.4,2013-09-17,20.32,9
"Action","Rockstar Games","Rockstar North",9.7,2014-11-18,19.39,11
"Action","Rockstar Games","Rockstar North",9.6,2002-10-28,16.15,10
"Action","Rockstar Games","Rockstar North",NA,2013-09-17,15.86,9
"Shooter","Activision","Treyarch",8.1,2015-11-06,15.09,11
"Shooter","Activision","Infinity Ward",8.7,2011-11-08,14.82,11
"Shooter","Activision","Treyarch",8.8,2010-11-09,14.74,11
"Action-Adventure","Rockstar Games","Rockstar Games",9.8,2018-10-26,13.94,10
"Shooter","Activision","Treyarch",8.4,2012-11-13,13.86,11
"Shooter","Activision","Treyarch",8,2012-11-13,13.8,11
"Shooter","Activision","Infinity Ward",9.5,2009-11-10,13.53,11
"Shooter","Activision","Sledgehammer Games",8.1,2017-11-03,13.4,11
"Shooter","Activision","Infinity Ward",8.8,2011-11-08,13.35,11
"Action","Rockstar Games","DMA Design",9.5,2001-10-23,13.1,10
"Shooter","Activision","Treyarch",8.7,2010-11-09,12.67,11
"Sports","EA Sports","EA Vancouver",8.3,2017-09-29,11.8,9
"Action","Rockstar Games","Rockstar North",10,2008-04-29,11.09,4
"Sports","Electronic Arts","EA Canada",8.9,2016-09-27,10.94,9
"Shooter","Activision","Infinity Ward",9.5,2009-11-10,10.61,11
"Action","Rockstar Games","Rockstar North",10,2008-04-29,10.57,4
"Shooter","Activision","Infinity Ward",6.9,2013-11-05,10.41,11
"Shooter","Activision","Infinity Ward",7.5,2013-11-05,10.13,11
"Shooter","Microsoft Game Studios","Bungie",9.3,2010-09-14,9.97,9
"Shooter","Microsoft Studios","343 Industries",NA,2012-11-06,9.96,11
"Shooter","Activision","Infinity Ward",9.6,2007-11-05,9.41,11
"Shooter","Activision","Treyarch",NA,2018-10-12,9.32,10
"Sports","Electronic Arts","EA Sports",NA,2018-09-28,9.15,9
"Role-Playing","Bethesda Softworks","Bethesda Game Studios",9.3,2011-11-11,8.88,11
"Action","Rockstar Games","Rockstar North",9,2014-11-18,8.72,11
"Shooter","Activision","Infinity Ward",7.9,2016-11-04,8.48,11
"Role-Playing","Bethesda Softworks","Bethesda Game Studios",8.6,2015-11-10,8.48,11
"Sports","EA Sports","EA Canada",8.5,2015-09-22,8.22,9
"Shooter","Electronic Arts","EA DICE",7.1,2015-11-17,8.03,11
"Sports","EA Sports","EA Canada",NA,2012-09-25,8.01,9
"Simulation","Electronic Arts","EA Redwood Shores",8.5,2009-06-02,7.96,6
"Action","Rockstar Games","Rockstar Leeds",8.8,2005-10-25,7.72,10
"Shooter","Activision","Sledgehammer Games",8.5,2014-11-04,7.53,11
"Shooter","Activision","Treyarch",8.5,2008-11-10,7.5,11
"Shooter","Activision","Treyarch",NA,2015-11-06,7.37,11
"Shooter","Electronic Arts","Dice",8.5,2011-10-25,7.35,10
"Shooter","Electronic Arts","EA DICE",9.1,2016-10-21,7.26,10
"Shooter","Electronic Arts","Dice",8.5,2011-10-25,7.21,10
"Racing","Electronic Arts","EA Black Box",8.6,2003-11-17,7.2,11
"Racing","Electronic Arts","EA Black Box",8.3,2004-11-15,6.9,11
"Music","Ubisoft","Ubisoft",NA,2012-10-09,6.89,10
"Shooter","Electronic Arts","EA Los Angeles",9,2002-05-28,6.83,5
"Action","Sony Computer Entertainment","Naughty Dog",9.5,2009-10-13,6.74,10
"Shooter","Activision","Infinity Ward",9.5,2007-11-05,6.72,11
"Sports","EA Sports","EA Canada",9.2,2011-09-27,6.65,9
"Sports","EA Sports","EA Canada",NA,2013-09-24,6.61,9
"Action","Rockstar Games","Rockstar San Diego",9.5,2011-10-11,6.57,10
"Action","Rockstar Games","Rockstar San Diego",9.5,2010-05-18,6.5,5
"Action-Adventure","Ubisoft","Ubisoft Montreal",8.8,2012-10-30,6.5,10
"Role-Playing","Bethesda Softworks","Bethesda Game Studios",9,2011-11-11,6.49,11
"Misc","Sony Computer Entertainment","Mojang",9.4,2014-10-07,6.33,10
"Sports","EA Sports","EA Canada",8.1,2014-09-23,6.32,9
